NAME                                            PID PROCESS         USER  CONNECTION    UNIT               SESSION DESCRIPTION
:1.1                                           7270 systemd         mycyg :1.1          user@1000.service  -       -
:1.102                                        11438 gsd-xsettings   mycyg :1.102        user@1000.service  -       -
:1.106                                        11446 mutter-x11-fram mycyg :1.106        user@1000.service  -       -
:1.107                                        11459 ibus-x11        mycyg :1.107        user@1000.service  -       -
:1.11                                          7794 xdg-document-po mycyg :1.11         user@1000.service  -       -
:1.114                                        12809 gvfsd-recent    mycyg :1.114        user@1000.service  -       -
:1.115                                        12811 gvfsd-network   mycyg :1.115        user@1000.service  -       -
:1.117                                        12822 gvfsd-dnssd     mycyg :1.117        user@1000.service  -       -
:1.119                                        12828 gvfsd-wsdd      mycyg :1.119        user@1000.service  -       -
:1.12                                          7803 xdg-permission- mycyg :1.12         user@1000.service  -       -
:1.128                                        22398 ibus-engine-sim mycyg :1.128        user@1000.service  -       -
:1.14                                          9845 gnome-keyring-d mycyg :1.14         user@1000.service  -       -
:1.15                                          9929 gdm-wayland-ses mycyg :1.15         session-3.scope    3       -
:1.18                                          9940 gnome-session-i mycyg :1.18         session-3.scope    3       -
:1.19                                          7464 wireplumber     mycyg :1.19         user@1000.service  -       -
:1.2                                           7448 pipewire        mycyg :1.2          user@1000.service  -       -
:1.21                                         10176 gvfsd           mycyg :1.21         user@1000.service  -       -
:1.22                                         10182 gvfsd-fuse      mycyg :1.22         user@1000.service  -       -
:1.24                                         10195 dconf-service   mycyg :1.24         user@1000.service  -       -
:1.27                                         10224 gnome-session-s mycyg :1.27         user@1000.service  -       -
:1.28                                         10230 gnome-shell     mycyg :1.28         user@1000.service  -       -
:1.29                                         10230 gnome-shell     mycyg :1.29         user@1000.service  -       -
:1.3                                           7448 pipewire        mycyg :1.3          user@1000.service  -       -
:1.30                                         10272 at-spi-bus-laun mycyg :1.30         user@1000.service  -       -
:1.31                                         10281 at-spi2-registr mycyg :1.31         user@1000.service  -       -
:1.32                                         10281 at-spi2-registr mycyg :1.32         user@1000.service  -       -
:1.34                                         10301 gnome-shell-cal mycyg :1.34         user@1000.service  -       -
:1.35                                         10309 evolution-sourc mycyg :1.35         user@1000.service  -       -
:1.36                                         10318 gjs             mycyg :1.36         user@1000.service  -       -
:1.39                                         10344 gsd-a11y-settin mycyg :1.39         user@1000.service  -       -
:1.4                                           7462 mpris-proxy     mycyg :1.4          user@1000.service  -       -
:1.40                                         10345 gsd-color       mycyg :1.40         user@1000.service  -       -
:1.41                                         10354 gsd-keyboard    mycyg :1.41         user@1000.service  -       -
:1.42                                         10368 gsd-rfkill      mycyg :1.42         user@1000.service  -       -
:1.43                                         10376 gsd-sharing     mycyg :1.43         user@1000.service  -       -
:1.44                                         10353 gsd-housekeepin mycyg :1.44         user@1000.service  -       -
:1.45                                         10361 gsd-power       mycyg :1.45         user@1000.service  -       -
:1.46                                         10352 gsd-datetime    mycyg :1.46         user@1000.service  -       -
:1.47                                         10372 gsd-screensaver mycyg :1.47         user@1000.service  -       -
:1.48                                         10393 gsd-usb-protect mycyg :1.48         user@1000.service  -       -
:1.49                                         10379 gsd-smartcard   mycyg :1.49         user@1000.service  -       -
:1.50                                         10387 gsd-sound       mycyg :1.50         user@1000.service  -       -
:1.51                                         10359 gsd-media-keys  mycyg :1.51         user@1000.service  -       -
:1.52                                         10436 gsd-disk-utilit mycyg :1.52         user@1000.service  -       -
:1.53                                         10394 gsd-wwan        mycyg :1.53         user@1000.service  -       -
:1.55                                         10364 gsd-print-notif mycyg :1.55         user@1000.service  -       -
:1.57                                         10391 goa-daemon      mycyg :1.57         user@1000.service  -       -
:1.58                                         10414 update-notifier mycyg :1.58         user@1000.service  -       -
:1.59                                         10423 evolution-alarm mycyg :1.59         user@1000.service  -       -
:1.60                                         10571 goa-identity-se mycyg :1.60         user@1000.service  -       -
:1.608                                       287271 busctl          mycyg :1.608        session-1281.scope 1281    -
:1.61                                         10586 gjs             mycyg :1.61         user@1000.service  -       -
:1.62                                         10616 evolution-calen mycyg :1.62         user@1000.service  -       -
:1.63                                         10650 gvfs-udisks2-vo mycyg :1.63         user@1000.service  -       -
:1.64                                         10658 evolution-addre mycyg :1.64         user@1000.service  -       -
:1.65                                         10669 gvfs-afc-volume mycyg :1.65         user@1000.service  -       -
:1.66                                         10679 gvfs-mtp-volume mycyg :1.66         user@1000.service  -       -
:1.68                                         10684 gvfs-gphoto2-vo mycyg :1.68         user@1000.service  -       -
:1.69                                         10343 ibus-daemon     mycyg :1.69         user@1000.service  -       -
:1.70                                         10698 ibus-memconf    mycyg :1.70         user@1000.service  -       -
:1.71                                         10701 ibus-portal     mycyg :1.71         user@1000.service  -       -
:1.72                                         10693 gvfs-goa-volume mycyg :1.72         user@1000.service  -       -
:1.73                                         10699 ibus-extension- mycyg :1.73         user@1000.service  -       -
:1.74                                         10706 localsearch-3   mycyg :1.74         user@1000.service  -       -
:1.76                                         10771 xdg-desktop-por mycyg :1.76         user@1000.service  -       -
:1.77                                         10781 xdg-desktop-por mycyg :1.77         user@1000.service  -       -
:1.79                                         10840 snapd-desktop-i mycyg :1.79         user@1000.service  -       -
